gbifID,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,establishmentMeans,occurrenceStatus,eventDate,year,month,day,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,typeStatus,identifiedBy,dateIdentified,scientificName,kingdom,phylum,class,order,family,genus,infraspecificEpithet,taxonRank,datasetKey,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,issue,mediaType,taxonKey,speciesKey,species,verbatimScientificName
2435989159,CC_BY_4_0,,MEL,MEL,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 423.77118690697864, 'voyagerInferrences': 'collector'}",3f1db9a7-6bc1-4c83-b49f-bcf515d38174,MEL 0594504A,629,"Darwin, C.R.",,,present,1832-04-01T00:00:00,1832.0,4.0,1.0,BR,,Rio [=Rio de Janeiro].,-22.9,-43.18333300000001,25000.0,,,,,"Amphiroa Lamouroux, 1812",Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Amphiroa,,GENUS,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,2020-06-13T12:14:25.333Z,,,,,COORDINATE_ROUNDED;INVALID_DISTANCE_TO_ROUTE,,2656090,,,Amphiroa
2434194038,CC0_1_0,Naturalis Biodiversity Center,,Aves,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 135.99462279576625, 'voyagerInferrences': 'collector'}",https://data.biodiversitydata.nl/naturalis/specimen/RMNH.AVES.90690,RMNH.AVES.90690,,Darwin C.,1.0,,,1835-09-15T00:00:00,1835.0,9.0,15.0,EC,Galápagos,,-1.2975,-90.434167,,,SYNTYPE,,,"Camarhynchus crassirostris Gould, 1837",Animalia,Chordata,Aves,Passeriformes,Thraupidae,Platyspiza,,SPECIES,889c91a3-614f-4355-8df8-b6d0260a118c,2020-06-23T18:44:55.655Z,,,,,INVALID_DISTANCE_TO_ROUTE,StillImage;StillImage;StillImage,2491749.0,2491748.0,Platyspiza crassirostris,"Camarhynchus crassirostris Gould, 1837"
912385397,CC_BY_4_0,,K,Herbarium,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 156.06620829598978, 'voyagerInferrences': 'collector'}",http://specimens.kew.org/herbarium/K000459622,K000459622,526,"Darwin, C.",,,,1832-09-21T00:00:00,1832.0,9.0,21.0,AR,,"Bahia Blanca, Coast of Patagonia",-38.73,-62.27,1.08,,,,,Ephedra ochreata Miers,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,,SPECIES,cd6e21c8-9e8a-493a-8a76-fbf7862069e5,2020-06-08T22:07:20.063Z,,,,,TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;INVALID_DISTANCE_TO_ROUTE,StillImage,2653367.0,2653367.0,Ephedra ochreata,Ephedra ochreata Miers
2435297793,CC_BY_4_0,,MEL,MEL,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 297.7581636974961, 'voyagerInferrences': 'collector'}",281a819a-6145-4742-afbd-67a1b829d57c,MEL 2457234A,,"Darwin, C.R.",,,present,1834-12-01T00:00:00,1834.0,12.0,1.0,CL,,Cape Tres Montes.,-46.95,-75.43333299999998,,,,,,Polygonum L.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,,GENUS,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,2020-06-13T12:14:50.732Z,,,,,COORDINATE_ROUNDED;INVALID_DISTANCE_TO_ROUTE,,2889077.0,,,Polygonum
2438067310,CC_BY_4_0,,MEL,MEL,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 297.7581636974961, 'voyagerInferrences': 'collector'}",696249a5-2b40-4de9-8bb4-5b5b10a0736b,MEL 2457233A,,"Darwin, C.R.",,,present,1834-12-01T00:00:00,1834.0,12.0,1.0,CL,,Cape Tres Montes.,-46.95,-75.43333299999998,,,,,,Polygonum L.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,,GENUS,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,2020-06-13T12:14:29.292Z,,,,,COORDINATE_ROUNDED;INVALID_DISTANCE_TO_ROUTE,,2889077.0,,,Polygonum
1322118512,CC0_1_0,,USNM,Invertebrate Zoology,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://n2t.net/ark:/65665/3d97b2543-3047-4a58-88ec-17e35b7d83b4,1376340,USNPC # 081004,C. Darwin,1.0,,,1835-01-01T00:00:00,1835.0,1.0,1.0,EC,Galapagos Islands,Genovesa Island,-42.9,-74.92666666666666,,,,"Mcquistion, T. E.",,"Polysporella McQuiston, 1990",Chromista,Myzozoa,Conoidasida,Eucoccidiorida,Eimeriidae,Polysporella,,GENUS,821cc27a-e3bb-4bc5-ac34-89ada245069d,2020-06-25T21:55:54.266Z,,,,,TYPE_STATUS_INVALID;TAXON_MATCH_HIGHERRANK;COORDINATES_INFERRED,,8191235,,,Polysporella genovesae
575175144,CC_BY_NC_4_0,,E,E,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://data.rbge.org.uk/herb/E00070244,E00070244,,"Darwin, Charles Robert",,,,1834-12-30T00:00:00,1834.0,12.0,30.0,CL,Región XI [Aisén Del Gral. Carlos Ibáñez Del Campo],Cabo Tres Montes,-44.31333333333333,-75.17,,,ISOLECTOTYPE,,,Leptinella scariosa Cass.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Leptinella,,SPECIES,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,2020-06-08T18:13:43.196Z,,,,,COORDINATES_INFERRED,StillImage,3097538,3097538.0,Leptinella scariosa,Leptinella scariosa Cass.
574884712,CC_BY_NC_4_0,,E,E,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://data.rbge.org.uk/herb/E00070255,E00070255,,"Darwin, Charles",,,,1834-05-29T00:00:00,1834.0,5.0,29.0,CL,Región XII [Magallanes y de la Antártica Chilena],Gregory bay,-52.685,-70.23500000000001,,,,,,Erigeron myosotis Pers.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,,SPECIES,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,2020-06-08T18:13:50.960Z,,,,,COORDINATES_INFERRED,StillImage,8216005,8216005.0,Erigeron myosotis,Erigeron myosotis Pers.
575123886,CC_BY_NC_4_0,,E,E,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://data.rbge.org.uk/herb/E00070292,E00070292,,"Darwin, Charles",,,,1832-10-07T00:00:00,1832.0,10.0,7.0,AR,Prov. de Buenos Aires,"Monte Hermoso, outside of Bahía Blanca",-39.46,-60.075,,,,,,Lathyrus tomentosus Lam.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Lathyrus,,SPECIES,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,2020-06-08T18:13:43.588Z,,,,,COORDINATES_INFERRED,StillImage,5356612,5356612.0,Lathyrus tomentosus,Lathyrus tomentosus Lam.
1056338700,CC0_1_0,,NHMUK,PAL,PRESERVED_SPECIMEN,"{'vessel': 'beagle', 'distance': 0.0, 'voyagerInferrences': 'collector'}",d99da87a-a531-4333-b244-2c348fa2ec39,PV M 16557,,Charles R. Darwin,,,,1833-10-10T00:00:00,1833.0,10.0,10.0,AR,Entre Ríos,previously called Bajada de Santa Fe,-34.9,-54.95,,,HOLOTYPE,"Sir Richard Owen K.C.B., M.D., D.C.L., LL.D. P.R.S., F.L.S., V.P.Z.S.",,"Equus curvidens Owen, 1845",Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,,SPECIES,7e380070-f762-11e1-a439-00145eb45e9a,2020-06-24T04:37:47.652Z,,,,,COORDINATES_INFERRED,StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage;StillImage,8533382,8533382.0,Equus curvidens,"Equus curvidens Owen, 1845"
