gbifID,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,establishmentMeans,occurrenceStatus,eventDate,year,month,day,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,typeStatus,identifiedBy,dateIdentified,scientificName,kingdom,phylum,class,order,family,genus,infraspecificEpithet,taxonRank,datasetKey,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,issue,mediaType,taxonKey,speciesKey,species,verbatimScientificName
1320938695,CC0_1_0,,USNM,Mammals,HUMAN_OBSERVATION,"{'vessel': 'belgica', 'distance': 6.578490573605822, 'voyagerInferrences': 'route_proximity'}",http://n2t.net/ark:/65665/3a542b93c-5400-49e5-bffb-e3954883caa4,STR3710,,E. Racovitza,1.0,,,1899-01-19T00:00:00,1899.0,1.0,19.0,AQ,,,-70.25,-87.08,,,,,,"Hyperoodon planifrons Flower, 1882",Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Hyperoodon,,SPECIES,821cc27a-e3bb-4bc5-ac34-89ada245069d,2020-06-25T21:56:29.854Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;nan,,5220011.0,5220011.0,Hyperoodon planifrons,Hyperoodon planifrons
1320896534,CC0_1_0,,USNM,Mammals,HUMAN_OBSERVATION,"{'vessel': 'belgica', 'distance': 6.578490573605822, 'voyagerInferrences': 'route_proximity'}",http://n2t.net/ark:/65665/3a36581b5-7a25-4310-855e-3db2c3884004,STR3718,,Collector Unknown,1.0,,,1899-01-19T00:00:00,1899.0,1.0,19.0,AQ,,,-70.25,-87.08,,,,,,"Hyperoodon planifrons Flower, 1882",Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Hyperoodon,,SPECIES,821cc27a-e3bb-4bc5-ac34-89ada245069d,2020-06-25T21:55:55.603Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;nan,,5220011.0,5220011.0,Hyperoodon planifrons,Hyperoodon planifrons
1317934151,CC0_1_0,,USNM,Mammals,HUMAN_OBSERVATION,"{'vessel': 'belgica', 'distance': 51.15120681400787, 'voyagerInferrences': 'route_proximity'}",http://n2t.net/ark:/65665/3205a5197-63a9-49f0-9c11-caca02276bb3,STR3716,,Collector Unknown,1.0,,,1899-02-16T00:00:00,1899.0,2.0,16.0,AQ,,,-70.5,-93.95,,,,,,"Hyperoodon planifrons Flower, 1882",Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Hyperoodon,,SPECIES,821cc27a-e3bb-4bc5-ac34-89ada245069d,2020-06-25T21:56:22.460Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;nan,,5220011.0,5220011.0,Hyperoodon planifrons,Hyperoodon planifrons
1318931942,CC0_1_0,,USNM,Invertebrate Zoology,PRESERVED_SPECIMEN,"{'vessel': 'belgica', 'distance': 51.65687889501401, 'voyagerInferrences': 'route_proximity'}",http://n2t.net/ark:/65665/34c7e4645-e780-407d-baf1-1126c83227c8,76874,,,4.0,,,1898-05-27T00:00:00,1898.0,5.0,27.0,AQ,,,-71.25,-87.65,,,LECTOTYPE,"Marenzeller, E.",,"Errina gracilis von Marenzeller, 1903",Animalia,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae,Errina,,SPECIES,821cc27a-e3bb-4bc5-ac34-89ada245069d,2020-06-25T21:55:45.850Z,,,,,GEODETIC_DATUM_ASSUMED_WGS84;nan,,2265469.0,2265469.0,Errina gracilis,Errina gracilis
1320041516,CC0_1_0,,USNM,Mammals,HUMAN_OBSERVATION,"{'vessel': 'belgica', 'distance': 25.118610953243515, 'voyagerInferrences': 'route_proximity'}",http://n2t.net/ark:/65665/37d942236-2a8b-44d9-8981-31a1c5df791a,STR3719,,Collector Unknown,1.0,,,1898-09-07T00:00:00,1898.0,9.0,7.0,AQ,,,-69.9,-82.58,,,,,,"Hyperoodon planifrons Flower, 1882",Animalia,Chordata,Mammalia,Cetacea,Hyperoodontidae,Hyperoodon,,SPECIES,821cc27a-e3bb-4bc5-ac34-89ada245069d,2020-06-25T21:55:48.729Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;GEODETIC_DATUM_ASSUMED_WGS84;nan,,5220011.0,5220011.0,Hyperoodon planifrons,Hyperoodon planifrons
1437012169,CC_BY_NC_4_0,Royal belgian Institute of natural Sciences,RBINS,oph,PRESERVED_SPECIMEN,"{'vessel': 'belgica', 'distance': 30.554583696672623, 'voyagerInferrences': 'route_proximity'}",urn:catalog:RBINS:oph:374485,OPH.124\3,,,8.0,,,1898-10-18T00:00:00,1898.0,10.0,18.0,AQ,,,-69.983333,-80.9,,,COTYPE,Koehler,1901-01-01T00:00:00,"Amphiura belgicae Koehler, 1900",Animalia,Echinodermata,Ophiuroidea,Amphilepidida,Amphiuridae,Amphiura,,SPECIES,8138eb72-f762-11e1-a439-00145eb45e9a,2020-06-08T16:49:00.333Z,300.0,100.0,,,COUNTRY_DERIVED_FROM_COORDINATES;nan,,2277982.0,2277982.0,Amphiura belgicae,"Amphiura belgicae Koehler, 1900"
1437012231,CC_BY_NC_4_0,Royal belgian Institute of natural Sciences,RBINS,oph,PRESERVED_SPECIMEN,"{'vessel': 'belgica', 'distance': 21.60071387537679, 'voyagerInferrences': 'route_proximity'}",urn:catalog:RBINS:oph:551287,OPH.155,,,2.0,,,1898-12-20T00:00:00,1898.0,12.0,20.0,AQ,,,-70.25,-84.1,,,COTYPE,Massin Claude (Dr.) | Jangoux M. (Dr.),1984-01-01T00:00:00,"Ophiogona doederleini (Koehler, 1901)",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiopyrgidae,Ophiogona,,SPECIES,8138eb72-f762-11e1-a439-00145eb45e9a,2020-06-08T16:49:00.333Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;nan,,2276745.0,2276745.0,Ophiogona doederleini,"Ophiogona doederleini (Koehler, 1900)"
1436650875,CC_BY_NC_4_0,Royal belgian Institute of natural Sciences,RBINS,ast,PRESERVED_SPECIMEN,"{'vessel': 'belgica', 'distance': 54.97392378391426, 'voyagerInferrences': 'route_proximity'}",urn:catalog:RBINS:ast:338027,AST.511,,,1.0,,,1898-10-08T00:00:00,1898.0,10.0,8.0,AQ,,,-70.383333,-82.783333,,,,Ludwig,1903-01-01T00:00:00,"Mimaster cognatus Sladen, 1889",Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Mimastrella,,SPECIES,8138eb72-f762-11e1-a439-00145eb45e9a,2020-06-08T16:48:59.233Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;nan,,5186667.0,2270459.0,Mimastrella cognata,"Mimaster cognatus Sladen, 1889"
1436652477,CC_BY_NC_4_0,Royal belgian Institute of natural Sciences,RBINS,ast,PRESERVED_SPECIMEN,"{'vessel': 'belgica', 'distance': 42.38148365334929, 'voyagerInferrences': 'route_proximity'}",urn:catalog:RBINS:ast:857384,AST.797,,,2.0,,,1898-05-18T00:00:00,1898.0,5.0,18.0,AQ,,,-71.3,-88.033333,,,COTYPE,Massin Claude (Dr.) | Jangoux M. (Dr.),1984-01-01T00:00:00,"Solaster octoradiatus Ludwig, 1903",Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,,SPECIES,8138eb72-f762-11e1-a439-00145eb45e9a,2020-06-08T16:48:59.238Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;nan,,2270965.0,2270959.0,Solaster regularis,"Solaster octoradiatus Ludwig, 1903"
1436652558,CC_BY_NC_4_0,Royal belgian Institute of natural Sciences,RBINS,ast,PRESERVED_SPECIMEN,"{'vessel': 'belgica', 'distance': 54.97392378391426, 'voyagerInferrences': 'route_proximity'}",urn:catalog:RBINS:ast:333980,AST.541\2,,,5.0,,,1898-10-08T00:00:00,1898.0,10.0,8.0,AQ,,,-70.383333,-82.783333,,,COTYPE,Massin Claude (Dr.) | Jangoux M. (Dr.),1984-01-01T00:00:00,"Cheiraster gerlachei Ludwig, 1903",Animalia,Echinodermata,Asteroidea,Notomyotida,Benthopectinidae,Cheiraster,,SPECIES,8138eb72-f762-11e1-a439-00145eb45e9a,2020-06-08T16:48:59.239Z,,,,,COUNTRY_DERIVED_FROM_COORDINATES;nan,,2269834.0,2269834.0,Cheiraster gerlachei,"Cheiraster (Luidiaster) gerlachei Ludwig, 1903"
