gbifID,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,establishmentMeans,occurrenceStatus,eventDate,year,month,day,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,typeStatus,identifiedBy,dateIdentified,scientificName,kingdom,phylum,class,order,family,genus,infraspecificEpithet,taxonRank,datasetKey,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,issue,mediaType,taxonKey,speciesKey,species,verbatimScientificName
1056392461,CC0_1_0,,NHMUK,BOT,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 12244.01134541233, 'voyagerInferrences': 'collector'}",3e0b4822-cf55-4eb2-b3a1-f0a8ccf1df9f,BM001024215,s.n.,Archibald Menzies,,,,1792-05-31T00:00:00,1792.0,5.0,31.0,US,Washington,,47.381076,-120.41251100000001,,,HOLOTYPE,,,Parnassia fimbriata Konig,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Parnassia,,SPECIES,7e380070-f762-11e1-a439-00145eb45e9a,2020-06-24T04:37:36.824Z,,,,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;INVALID_DISTANCE_TO_ROUTE,StillImage,3032582.0,3032582.0,Parnassia fimbriata,Parnassia fimbriata K.D.Koenig
2436466037,CC_BY_4_0,,CANB,CANB,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",9351dc80-46ca-4cca-8235-dc315302683a,CANB 237094.1,s.n.,"Menzies, A.",,,present,1791-10-01T00:00:00,1791.0,10.0,1.0,AU,Western Australia,West coast of New Holland. [No locality given.],-35.42357142857143,117.38642857142858,,,,"Maslin, B.R.",,Acacia littorea Maslin,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,,SPECIES,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,2020-06-13T12:14:32.638Z,,,,,COORDINATES_INFERRED,,2978383.0,2978383.0,Acacia littorea,Acacia littorea
1055366674,CC0_1_0,,NHMUK,BOT,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",0494e279-926d-4b3b-8c77-6320c7773dc4,BM000993106,s.n.,Archibald Menzies,,,,1795-02-07T00:00:00,1795.0,2.0,7.0,EC,Galápagos,,0.12,-87.67,,,TYPE,,,Alternanthera echinocephala Christoph.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Alternanthera,,SPECIES,7e380070-f762-11e1-a439-00145eb45e9a,2020-06-24T04:37:47.517Z,,,,,COORDINATES_INFERRED,StillImage;StillImage,3084955.0,3084955.0,Alternanthera echinocephala,Alternanthera echinocephala (Hook.f.) Christoph.
39603397,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",a344d982-9365-4ecb-9a3e-859332e66aa8,1048809,Collector Number: s.n.,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,unknown,-17.60230769230769,-149.64423076923077,,,,,,Vaccinium calycinum Sm.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,,SPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:32.872Z,,,,,COORDINATES_INFERRED,,2882931.0,2882931.0,Vaccinium calycinum,Vaccinium calycinum
35462039,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",f1214eaf-55f1-46a7-873d-7237f06585b1,73935,Collector Number: s.n.,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,unknown,-17.60230769230769,-149.64423076923077,,,,,,Bidens menziesii subsp. menziesii,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,menziesii,SUBSPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:31.042Z,,,,,COORDINATES_INFERRED,,5709206.0,5392027.0,Bidens menziesii,Bidens menziesii subsp. menziesii
1090360459,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",6a5aa2a7-53fe-4c78-a21f-e6be6971995d,8707,,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,,-17.60230769230769,-149.64423076923077,,,,"Bishop, L.E.",,Adenophorus tamariscinus var. tamariscinus,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Adenophorus,tamariscinus,VARIETY,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:37.787Z,,,,,COORDINATES_INFERRED,,5274925.0,5274924.0,Adenophorus tamariscinus,Adenophorus tamariscinus var. tamariscinus
38710039,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",2b1dc236-3906-4f88-aff9-9ab46e73cfaa,510837,Collector Number: s.n.,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,unknown,-17.60230769230769,-149.64423076923077,,,ISOTYPE,,,Smilax melastomifolia Sm.,Plantae,Tracheophyta,Liliopsida,Liliales,Smilacaceae,Smilax,,SPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:40.102Z,,,,,COORDINATES_INFERRED,,5295260.0,5295260.0,Smilax melastomifolia,Smilax melastomifolia
35292627,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",d169a04f-0cd3-45c1-9dcd-00cf37b31e12,1457709,Collector Number: s.n.,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,unknown,-17.60230769230769,-149.64423076923077,,,,,,Astelia menziesiana Sm.,Plantae,Tracheophyta,Liliopsida,Asparagales,Asteliaceae,Astelia,,SPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:30.931Z,,,,,COORDINATES_INFERRED,,2853132.0,2853132.0,Astelia menziesiana,Astelia menziesiana
35261070,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",0e9011fa-e63b-4626-b0f1-7b3de897662a,1613196,Collector Number: s.n.,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,unknown,-17.60230769230769,-149.64423076923077,,,,,,Asplenium monanthes L.,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,SPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:30.926Z,,,,,COORDINATES_INFERRED,,2650637.0,2650637.0,Asplenium monanthes,Asplenium monanthes
35461121,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'discovery', 'distance': 0.0, 'voyagerInferrences': 'collector'}",8249d3df-3aa3-472c-8945-3790f304daa7,73934,Collector Number: s.n.,"Menzies, A.",,,,1792-01-01T00:00:00,1792.0,1.0,1.0,US,Hawaii,unknown,-17.60230769230769,-149.64423076923077,,,,,,Bidens menziesii subsp. menziesii,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bidens,menziesii,SUBSPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:38.417Z,,,,,COORDINATES_INFERRED,,5709206.0,5392027.0,Bidens menziesii,Bidens menziesii subsp. menziesii
