gbifID,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,establishmentMeans,occurrenceStatus,eventDate,year,month,day,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,typeStatus,identifiedBy,dateIdentified,scientificName,kingdom,phylum,class,order,family,genus,infraspecificEpithet,taxonRank,datasetKey,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,issue,mediaType,taxonKey,speciesKey,species,verbatimScientificName
144870052,CC0_1_0,,B,Herbarium Berolinense,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://herbarium.bgbm.org/object/BW08330000,B -W 08330 -00 0,,J. R. Forster & J. G. A. Forster,,,,1773-10-08T00:00:00,1773.0,10.0,8.0,,,"in Molluccis [nach Forst.f.: Societatis (Society Islands, French Polynesia), Amicorum (Tonga Islands) et novarum Hebridum (Vanuatu) insulae].",-22.189999999999998,-174.715,,,,,,Inocarpus edulis J.R.Forst.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inocarpus,,SPECIES,85714c48-f762-11e1-a439-00145eb45e9a,2020-06-08T16:34:28.908Z,,,,,COORDINATES_INFERRED,StillImage,2961949.0,7837019.0,Inocarpus fagifer,Inocarpus edulis J.R.Forst. & G.Forst.
144852144,CC0_1_0,,B,Herbarium Berolinense,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://herbarium.bgbm.org/object/BW09144000,B -W 09144 -00 0,,J. R. Forster & J. G. A. Forster,,,,1773-09-08T00:00:00,1773.0,9.0,8.0,,,India orientali.,-17.418235294117647,-151.72882352941178,,,,,,Crateva religiosa G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Crateva,,SPECIES,85714c48-f762-11e1-a439-00145eb45e9a,2020-06-08T16:34:29.436Z,,,,,COORDINATES_INFERRED,StillImage,3054263.0,3054263.0,Crateva religiosa,Crateva religiosa G.Forst.
893476984,CC0_1_0,,B,Herbarium Berolinense,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://herbarium.bgbm.org/object/BW11819010,B -W 11819 -01 0,,J. R. Forster & J. G. A. Forster,,,,1773-09-04T00:00:00,1773.0,9.0,4.0,,,"in insulis Oceani pacifici [Botanices insula, Teautea, Huaheine].",-17.473529411764705,-151.15235294117647,,,ISOTYPE,,,Lepidium piscidium G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,,SPECIES,85714c48-f762-11e1-a439-00145eb45e9a,2020-06-08T16:34:27.109Z,,,,,COORDINATES_INFERRED,StillImage;StillImage,5377076.0,5377075.0,Lepidium bidentatum,Lepidium piscidium G.Forst.
893464795,CC0_1_0,,B,Herbarium Berolinense,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://herbarium.bgbm.org/object/BW09144010,B -W 09144 -01 0,,J. R. Forster & J. G. A. Forster,,,,1773-09-08T00:00:00,1773.0,9.0,8.0,PF,,[Taheiti et Societatis].,-17.418235294117647,-151.72882352941178,,,ISOTYPE,,,Crateva religiosa G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Crateva,,SPECIES,85714c48-f762-11e1-a439-00145eb45e9a,2020-06-08T16:34:29.557Z,,,,,COORDINATES_INFERRED,StillImage;StillImage,3054263.0,3054263.0,Crateva religiosa,Crateva religiosa G.Forst.
893473885,CC0_1_0,,B,Herbarium Berolinense,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://herbarium.bgbm.org/object/BW08330010,B -W 08330 -01 0,,J. R. Forster & J. G. A. Forster,,,,1773-10-08T00:00:00,1773.0,10.0,8.0,,,"in Molluccis [nach Forst.f.: Societatis (Society Islands, French Polynesia), Amicorum (Tonga Islands) et novarum Hebridum (Vanuatu) insulae].",-22.189999999999998,-174.715,,,ISOTYPE,,,Inocarpus edulis J.R.Forst.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Inocarpus,,SPECIES,85714c48-f762-11e1-a439-00145eb45e9a,2020-06-08T16:34:26.979Z,,,,,COORDINATES_INFERRED,StillImage;StillImage,2961949.0,7837019.0,Inocarpus fagifer,Inocarpus edulis J.R.Forst. & G.Forst.
144873161,CC0_1_0,,B,Herbarium Berolinense,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://herbarium.bgbm.org/object/BW11819000,B -W 11819 -00 0,,J. R. Forster & J. G. A. Forster,,,,1773-09-04T00:00:00,1773.0,9.0,4.0,,,"in insulis Oceani pacifici [Botanices insula, Teautea, Huaheine].",-17.473529411764705,-151.15235294117647,,,,,,Lepidium piscidium G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,,SPECIES,85714c48-f762-11e1-a439-00145eb45e9a,2020-06-08T16:34:28.949Z,,,,,COORDINATES_INFERRED,StillImage,5377076.0,5377075.0,Lepidium bidentatum,Lepidium piscidium G.Forst.
2268986550,CC_BY_4_0,Missouri Botanical Garden,MO,MO,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",urn:catalog:MO:Tropicos:101091998,101091998,Forster s.n.,Johann R. Forster|J. G. Forster,1.0,,,1774-12-27T00:00:00,1774.0,12.0,27.0,AR,Tierra del Fuego,'Lectum in portu Natiuitatis Christi',-54.57222222222222,68.46888888888888,,,LECTOTYPE,,,Plantago barbata G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,,SPECIES,7bd65a7a-f762-11e1-a439-00145eb45e9a,2020-06-08T20:15:16.223Z,,,,,COORDINATES_INFERRED,,7302980.0,7302980.0,Plantago barbata,Plantago barbata G. Forst.
37725347,CC0_1_0,Bernice Pauahi Bishop Museum,BPBM,BISH,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",50565c05-09f0-4f16-a94f-625c48583c87,1457697,Collector Number: s.n.,Forster,,,,1774-06-22T00:00:00,1774.0,6.0,22.0,NU,,Niue Island,-19.3125,-170.65,,,,,,Ochrosia oppositifolia K.Schum.,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ochrosia,,SPECIES,b929f23d-290f-4e85-8f17-764c55b3b284,2020-06-08T20:29:32.455Z,,,,,COORDINATES_INFERRED,,3617566.0,3617566.0,Ochrosia oppositifolia,Ochrosia oppositifolia
461861935,CC_BY_4_0,,SANBI,PRECIS,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 0.0, 'voyagerInferrences': 'collector'}",,NBG0224820-0,,Sparrman A.; Thunberg C.P.,,,,1772-11-30T00:00:00,1772.0,11.0,30.0,ZA,,Not available,-42.4,17.72,,,,"Oliver, E.G.H.",,Erica retorta L.f.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,,SPECIES,1881d048-04f9-4bc2-b7c8-931d1659a354,2020-06-08T19:02:23.489Z,,,,,COORDINATES_INFERRED,,5683143.0,5683143.0,Erica retorta,Erica retorta
1057161860,CC0_1_0,,NHMUK,BOT,PRESERVED_SPECIMEN,"{'vessel': 'resolution', 'distance': 456.756686146152, 'voyagerInferrences': 'collector'}",e9137a60-6472-4b4d-aca9-6c9845d4ac8e,BM001015473,s.n.,William Anderson,,,,1774-01-01T00:00:00,1774.0,,,NC,,,-21.505,165.5758,,,TYPE,,,Rhus atra G.Forst.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Semecarpus,,SPECIES,7e380070-f762-11e1-a439-00145eb45e9a,2020-06-24T04:37:49.933Z,,,,,GEODETIC_DATUM_ASSUMED_WGS84;INVALID_DISTANCE_TO_ROUTE,StillImage,3659919.0,3660463.0,Semecarpus atra,Rhus atra Forst
